Date,Open,High,Low,Close,Volume,isin,ticker_used
2009-07-01,84.05081221375,84.6057313063007,84.04299477217583,84.16023254394531,1884,IE00B3F81R35,IE00B3F81R35
2009-07-02,84.4103297210053,84.69169796377881,84.4103297210053,84.56664276123047,606,IE00B3F81R35,IE00B3F81R35
2009-07-03,84.37906592036822,84.98088364745165,84.37906592036822,84.56664276123047,55307,IE00B3F81R35,IE00B3F81R35
2009-07-06,84.99650179002188,85.0355830266034,84.81673644989023,84.92616271972656,1064,IE00B3F81R35,IE00B3F81R35
2009-07-07,84.97306532034862,85.00432912065965,84.81674631879348,84.91053771972656,27090,IE00B3F81R35,IE00B3F81R35
2009-07-08,85.19190349257829,85.19190349257829,84.77766858563294,84.95742797851562,6840,IE00B3F81R35,IE00B3F81R35
2009-07-09,85.16842923843082,85.16842923843082,84.80890460746102,84.96521759033203,1021,IE00B3F81R35,IE00B3F81R35
2009-07-10,85.1762839076567,85.1762839076567,84.6057299411637,85.04341125488281,172,IE00B3F81R35,IE00B3F81R35
2009-07-13,84.89490769467922,85.34821788588097,84.89490769467922,85.19972229003906,93463,IE00B3F81R35,IE00B3F81R35
2009-07-14,85.0434045183958,85.09811467827697,85.0434045183958,85.17627716064453,9245,IE00B3F81R35,IE00B3F81R35
2009-07-15,85.19189821515187,85.22316201262083,85.06684302527596,85.1215591430664,18438,IE00B3F81R35,IE00B3F81R35
2009-07-16,85.27006721503986,85.44201514482096,85.04340912241572,85.41075134277344,2186,IE00B3F81R35,IE00B3F81R35
2009-07-17,85.47327703490012,85.48890595409401,85.20753770492084,85.27006530761719,3133,IE00B3F81R35,IE00B3F81R35
2009-07-20,85.27787210634914,85.4185562133789,85.19971559421253,85.4185562133789,4501,IE00B3F81R35,IE00B3F81R35
2009-07-21,85.53580049547784,85.62958593202036,85.37167001856834,85.70774841308594,4967,IE00B3F81R35,IE00B3F81R35
2009-07-22,85.87966425113189,85.95000927010648,85.78587884311015,85.88748168945312,3144,IE00B3F81R35,IE00B3F81R35
2009-07-23,85.79371102516214,85.79371102516214,85.73118939237722,85.69210815429688,755,IE00B3F81R35,IE00B3F81R35
2009-07-24,85.80934190106436,86.05162886956828,85.57486640944417,85.91876220703125,3152,IE00B3F81R35,IE00B3F81R35
2009-07-27,85.93439404691435,86.05163179671241,85.69210707016876,85.98129272460938,1807,IE00B3F81R35,IE00B3F81R35
2009-07-28,86.24704001940513,86.44243431304355,86.0203819232293,86.30175018310547,279,IE00B3F81R35,IE00B3F81R35
2009-07-29,86.59874141120592,86.59874141120592,86.20013543739603,86.47368621826172,194,IE00B3F81R35,IE00B3F81R35
2009-07-30,86.27047642813984,86.7159751277229,86.27047642813984,86.61437225341797,1370,IE00B3F81R35,IE00B3F81R35
2009-07-31,86.95046133342633,86.98954257763687,86.54404382325593,87.02861785888672,6156,IE00B3F81R35,IE00B3F81R35
2009-08-03,91.28821965640859,91.28821965640859,86.84104346509959,86.98172760009766,5383,IE00B3F81R35,IE00B3F81R35
2009-08-04,87.17711943133392,87.24745851536007,86.87230480796595,87.02861785888672,590,IE00B3F81R35,IE00B3F81R35
2009-08-05,87.02862468714041,87.02862468714041,86.73162748190433,87.07552337646484,429,IE00B3F81R35,IE00B3F81R35
2009-08-06,87.10675641986688,87.3334144710296,86.91917960485478,87.02078247070312,3357,IE00B3F81R35,IE00B3F81R35
